wav_filename,wav_filesize,start_time,stop_time,label
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_848784_851729_0.wav,94284.0,848784.0,851729.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_851729_869227_2.wav,559980.0,851729.0,869227.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_869227_876426_1.wav,230412.0,869227.0,876426.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_874541_896968_2.wav,717708.0,874541.0,896968.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_894290_904220_1.wav,317804.0,894290.0,904220.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_904220_916409_2.wav,390092.0,904220.0,916409.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_916409_921855_1.wav,174316.0,916409.0,921855.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_919986_951074_2.wav,994860.0,919986.0,951074.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_936207_940974_1.wav,152588.0,936207.0,940974.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_946447_956263_1.wav,314156.0,946447.0,956263.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_956263_958994_2.wav,87436.0,956263.0,958994.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_958994_961966_1.wav,95148.0,958994.0,961966.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_961966_996409_2.wav,1102220.0,961966.0,996409.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_996409_999893_4.wav,111532.0,996409.0,999893.0,4.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_999893_1004607_2.wav,150892.0,999893.0,1004607.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1004607_1010537_3.wav,189804.0,1004607.0,1010537.0,3.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1010537_1014201_0.wav,117292.0,1010537.0,1014201.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1015110_1018403_1.wav,105420.0,1015110.0,1018403.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1018403_1023709_2.wav,169836.0,1018403.0,1023709.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1022081_1027168_1.wav,162828.0,1022081.0,1027168.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1027168_1036025_2.wav,283468.0,1027168.0,1036025.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1034090_1038815_1.wav,151244.0,1034090.0,1038815.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1038815_1042097_2.wav,105068.0,1038815.0,1042097.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1042097_1046568_1.wav,143116.0,1042097.0,1046568.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1046568_1129969_0.wav,2668876.0,1046568.0,1129969.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1129969_1162499_2.wav,1041004.0,1129969.0,1162499.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1162499_1169765_0.wav,232556.0,1162499.0,1169765.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1169765_1172890_2.wav,100044.0,1169765.0,1172890.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1172890_1174940_1.wav,65644.0,1172890.0,1174940.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1175491_1177808_2.wav,74188.0,1175491.0,1177808.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1177808_1188977_1.wav,357452.0,1177808.0,1188977.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1189477_1191669_2.wav,70188.0,1189477.0,1191669.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1191669_1198267_1.wav,211180.0,1191669.0,1198267.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1198267_1201406_2.wav,100492.0,1198267.0,1201406.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1201406_1214602_1.wav,422316.0,1201406.0,1214602.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1215230_1217858_2.wav,84140.0,1215230.0,1217858.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1216833_1245490_1.wav,917068.0,1216833.0,1245490.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1221586_1227543_2.wav,190668.0,1221586.0,1227543.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1242287_1249655_2.wav,235820.0,1242287.0,1249655.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1249655_1252129_1.wav,79212.0,1249655.0,1252129.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1252129_1299533_3.wav,1516972.0,1252129.0,1299533.0,3.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1300238_1303312_1.wav,98412.0,1300238.0,1303312.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1303312_1305592_2.wav,73004.0,1303312.0,1305592.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1305592_1312831_1.wav,231692.0,1305592.0,1312831.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1312831_1328208_2.wav,492108.0,1312831.0,1328208.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1321596_1325312_1.wav,118956.0,1321596.0,1325312.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1328208_1331192_1.wav,95532.0,1328208.0,1331192.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1331192_1336739_3.wav,177548.0,1331192.0,1336739.0,3.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_1338405_1342442_2.wav,129228.0,1338405.0,1342442.0,2.0
